timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-07-16T00:00:00.000Z";"2024-07-16T23:59:59.999Z";"2024-07-16T19:31:00.000Z";"2024-07-16T08:35:00.000Z";"2781";159.7733302443;162.4695157046;153.0537313322;160.5518767303;3034234774.49;74524644375.66;"2024-07-16T23:59:59.999Z"
"2024-07-15T00:00:00.000Z";"2024-07-15T23:59:59.999Z";"2024-07-15T23:58:00.000Z";"2024-07-15T00:18:00.000Z";"2781";147.6661339905;159.9420596092;147.2028871737;159.9339702596;2580623500.02;74220216539.07;"2024-07-15T23:59:59.999Z"
"2024-07-14T00:00:00.000Z";"2024-07-14T23:59:59.999Z";"2024-07-14T23:43:00.000Z";"2024-07-14T00:00:00.000Z";"2781";141.9266565927;148.5470562345;141.9266565927;147.6223179184;2009294487.59;68505448232.07;"2024-07-14T23:59:59.999Z"
"2024-07-13T00:00:00.000Z";"2024-07-13T23:59:59.999Z";"2024-07-13T23:22:00.000Z";"2024-07-13T05:02:00.000Z";"2781";139.5264047458;143.3674393857;138.1795306404;141.9249728128;1131518483.6;65862711164.67;"2024-07-13T23:59:59.999Z"
"2024-07-12T00:00:00.000Z";"2024-07-12T23:59:59.999Z";"2024-07-12T18:51:00.000Z";"2024-07-12T10:24:00.000Z";"2781";135.8640259827;140.4247779842;134.1591556089;139.5280131014;1990173458;64734373047.03;"2024-07-12T23:59:59.999Z"
"2024-07-11T00:00:00.000Z";"2024-07-11T23:59:59.999Z";"2024-07-11T12:40:00.000Z";"2024-07-11T23:43:00.000Z";"2781";141.9828077147;145.3244281141;135.8475213463;135.8832262687;2286890971.86;63044268449.09;"2024-07-11T23:59:59.999Z"
"2024-07-10T00:00:00.000Z";"2024-07-10T23:59:59.999Z";"2024-07-10T05:10:00.000Z";"2024-07-10T01:05:00.000Z";"2781";141.374149276;145.8537104311;138.8560482655;141.974797594;1952272009.91;65829357256.55;"2024-07-10T23:59:59.999Z"
"2024-07-09T00:00:00.000Z";"2024-07-09T23:59:59.999Z";"2024-07-09T08:46:00.000Z";"2024-07-09T02:04:00.000Z";"2781";139.5373527572;143.9293847985;136.7409378527;141.3484538686;2418798702;65537468013.38;"2024-07-09T23:59:59.999Z"
"2024-07-08T00:00:00.000Z";"2024-07-08T23:59:59.999Z";"2024-07-08T11:52:00.000Z";"2024-07-08T01:06:00.000Z";"2781";131.7970311236;141.6341165884;128.5629264309;139.4637043215;3692404575.4;64646919566.86;"2024-07-08T23:59:59.999Z"
"2024-07-07T00:00:00.000Z";"2024-07-07T23:59:59.999Z";"2024-07-07T00:00:00.000Z";"2024-07-07T23:59:00.000Z";"2781";143.1870599266;143.1870599266;131.7740977167;131.7740977167;1842515124.08;61083183722.35;"2024-07-07T23:59:59.999Z"
"2024-07-06T00:00:00.000Z";"2024-07-06T23:59:59.999Z";"2024-07-06T21:07:00.000Z";"2024-07-06T02:22:00.000Z";"2781";134.3632967815;144.0084732038;132.6132935691;143.2411728827;2078535871.24;66320299709.13;"2024-07-06T23:59:59.999Z"
"2024-07-05T00:00:00.000Z";"2024-07-05T23:59:59.999Z";"2024-07-05T18:58:00.000Z";"2024-07-05T04:20:00.000Z";"2781";127.6050736433;135.8457952758;122.4423092729;134.36934265;4644036182.1;62197196003.43;"2024-07-05T23:59:59.999Z"
